Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_Low_Confidence_Limit,Lesser_Risk_High_Confidence_Limit,Sample_Size,Sex,Race,Grade,SexualIdentity,SexOfSexualContacts
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,53,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently smoke cigars daily,100,,,100,100,141,Male,Total,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,96,Male,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,40,Male,Total,12th,Total,No sexual contact
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,0,0,0,Did not have sexual intercourse with four or more persons during their life,100,,,100,100,37,Total,Black or African American,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Frequent smokeless tobacco use,Currently frequently used smokeless tobacco,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently frequently use smokeless tobacco,100,,,100,100,42,Female,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Cigarette Use,Current cigarette use,Currently smoked cigarettes,on at least 1 day during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes,100,,,100,100,61,Total,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently smoke cigars daily,100,,,100,100,39,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,161,Female,Total,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,0,0,0,Did not attempt suicide,100,,,100,100,64,Female,Total,12th,Total,No sexual contact
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Electronic bullying,Were electronically bullied,"counting being bullied through texting, Instagram, Facebook, or other social media, during the 12 months before the survey",%,Percentage,0,0,0,Were not electronically bullied,100,,,100,100,30,Total,Black or African American,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,51,Male,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Injurious suicide attempt,"Suicide attempt resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",during the 12 months before the survey,%,Percentage,0,0,0,"Suicide attempt did not result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",100,,,100,100,30,Total,Asian,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Threatened at school,Were threatened or injured with a weapon on school property,"such as a gun, knife, or club, one or more times during the 12 months before the survey",%,Percentage,0,0,0,Were not threatened or injured with a weapon on school property,100,,,100,100,37,Total,Black or African American,12th,Total,No sexual contact
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical dating violence,Experienced physical dating violence,"being physically hurt on purpose (counting such things as being hit, slammed into something, or injured with an object or weapon) by someone they were dating or going out with, one or more times during the 12 months before the survey, among students who da",%,Percentage,0,0,0,Did not experience physical dating violence,100,,,100,100,31,Total,Total,12th,Total,No sexual contact
Other Health Topics,Oral Health Care,No oral health care,Never saw a dentist,"for a check-up, exam, teeth cleaning, or other dental work",%,Percentage,0,0,0,NULL,100,,,100,100,50,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,161,Female,Total,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever heroin use,Ever used heroin,"also called ""smack,"" ""junk,"" or ""China White,"" one or more times during their life",%,Percentage,0,0,0,Never used heroin,100,,,100,100,99,Male,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,33,Female,Hispanic or Latino,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Ever heroin use,Ever used heroin,"also called ""smack,"" ""junk,"" or ""China White,"" one or more times during their life",%,Percentage,0,0,0,Never used heroin,100,,,100,100,191,Total,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Injurious suicide attempt,"Suicide attempt resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",during the 12 months before the survey,%,Percentage,0,0,0,"Suicide attempt did not result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",100,,,100,100,64,Female,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,32,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,42,Female,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Cigarette Use,Current daily cigarette use,Currently smoked cigarettes daily,on all 30 days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes daily,100,,,100,100,69,Female,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,109,Total,Total,12th,Total,No sexual contact
Other Health Topics,Oral Health Care,No oral health care,Never saw a dentist,"for a check-up, exam, teeth cleaning, or other dental work",%,Percentage,0,0,0,NULL,100,,,100,100,32,Female,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,108,Total,Black or African American,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever cocaine use,Ever used cocaine,"any form of cocaine, such as powder, crack, or freebase, one or more times during their life",%,Percentage,0,0,0,Never used cocaine,100,,,100,100,73,Total,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Cigarette Use,Current daily cigarette use,Currently smoked cigarettes daily,on all 30 days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes daily,100,,,100,100,200,Female,Total,12th,Total,Total
Tobacco Use,Cigarette Use,Current cigarette use,Currently smoked cigarettes,on at least 1 day during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes,100,,,100,100,32,Male,Black or African American,12th,Total,Opposite sex only
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,0,0,0,Did not have sexual intercourse with four or more persons during their life,100,,,100,100,30,Total,Black or African American,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,94,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Frequent electronic vapor product use,Currently frequently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently use an electronic vapor product,100,,,100,100,47,Female,Black or African American,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,95,Female,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Frequent electronic vapor product use,Currently frequently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently use an electronic vapor product,100,,,100,100,30,Total,Black or African American,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,72,Total,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Frequent electronic vapor product use,Currently frequently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently use an electronic vapor product,100,,,100,100,51,Female,Total,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,34,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Tobacco Use,Other Tobacco Use,Current daily smokeless tobacco use,Currently used smokeless tobacco daily,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently use smokeless tobacco daily,100,,,100,100,69,Female,Total,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Current daily cigarette use,Currently smoked cigarettes daily,on all 30 days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes daily,100,,,100,100,42,Female,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Frequent smokeless tobacco use,Currently frequently used smokeless tobacco,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently frequently use smokeless tobacco,100,,,100,100,64,Total,Black or African American,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Electronic bullying,Were electronically bullied,"counting being bullied through texting, Instagram, Facebook, or other social media, during the 12 months before the survey",%,Percentage,0,0,0,Were not electronically bullied,100,,,100,100,33,Female,Hispanic or Latino,12th,Total,Opposite sex only
Tobacco Use,Cigarette Use,Current daily cigarette use,Currently smoked cigarettes daily,on all 30 days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently smoke cigarettes daily,100,,,100,100,48,Female,Black or African American,12th,Heterosexual (straight),Total
Sexual Behaviors,Sexual Behaviors,Sex before 13 years,Had sexual intercourse for the first time before age 13 years,NULL,%,Percentage,0,0,0,Did not have sexual intercourse for the first time before age 13 years,100,,,100,100,52,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Sexual Behaviors,Sexual Behaviors,Sex before 13 years,Had sexual intercourse for the first time before age 13 years,NULL,%,Percentage,0,0,0,Did not have sexual intercourse for the first time before age 13 years,100,,,100,100,37,Total,Black or African American,12th,Total,No sexual contact
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,0,0,0,Did not currently frequently smoke cigarettes,100,,,100,100,33,Female,Hispanic or Latino,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Ever heroin use,Ever used heroin,"also called ""smack,"" ""junk,"" or ""China White,"" one or more times during their life",%,Percentage,0,0,0,Never used heroin,100,,,100,100,31,Male,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily smokeless tobacco use,Currently used smokeless tobacco daily,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently use smokeless tobacco daily,100,,,100,100,55,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently smoke cigars,100,,,100,100,51,Male,Black or African American,12th,Heterosexual (straight),Total
Sexual Behaviors,Sexual Behaviors,Sex before 13 years,Had sexual intercourse for the first time before age 13 years,NULL,%,Percentage,0,0,0,Did not have sexual intercourse for the first time before age 13 years,100,,,100,100,39,Total,Asian,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Frequent electronic vapor product use,Currently frequently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently use an electronic vapor product,100,,,100,100,35,Total,White,12th,Heterosexual (straight),Total
Sexual Behaviors,Sexual Behaviors,Current sexual activity,Were currently sexually active,"had sexual intercourse with at least one person, during the 3 months before the survey",%,Percentage,0,0,0,Were not currently sexually active,100,,,100,100,30,Total,Black or African American,12th,Total,No sexual contact
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying,Carried a weapon,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,0,0,0,Did not carry a weapon,100,,,100,100,60,Female,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,0,0,0,Did not attempt suicide,100,,,100,100,55,Female,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting at school,Were in a physical fight on school property,one or more times during the 12 months before the survey,%,Percentage,0,0,0,Were not in a physical fight on school property,100,,,100,100,69,Female,Total,12th,Total,No sexual contact
Sexual Behaviors,Sexual Behaviors,Current sexual activity,Were currently sexually active,"had sexual intercourse with at least one person, during the 3 months before the survey",%,Percentage,0,0,0,Were not currently sexually active,100,,,100,100,37,Total,Black or African American,12th,Total,No sexual contact
Unintentional Injuries and Violence,Suicide-Related Behaviors,Injurious suicide attempt,"Suicide attempt resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",during the 12 months before the survey,%,Percentage,0,0,0,"Suicide attempt did not result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",100,,,100,100,30,Female,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily smokeless tobacco use,Currently used smokeless tobacco daily,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently use smokeless tobacco daily,100,,,100,100,64,Total,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current smokeless tobacco use,Currently used smokeless tobacco,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,0,0,0,Did not currently use smokeless tobacco,100,,,100,100,64,Total,Black or African American,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Ever heroin use,Ever used heroin,"also called ""smack,"" ""junk,"" or ""China White,"" one or more times during their life",%,Percentage,0,0,0,Never used heroin,100,,,100,100,40,Total,Asian,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,0,0,0,Did not attempt suicide,100,,,100,100,48,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Injurious suicide attempt,"Suicide attempt resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",during the 12 months before the survey,%,Percentage,0,0,0,"Suicide attempt did not result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",100,,,100,100,50,Female,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently smoke cigars daily,100,,,100,100,37,Total,Black or African American,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,95,Female,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily electronic vapor product use,Currently used an electronic vapor product daily,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently use an electronic vapor product daily,100,,,100,100,51,Female,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Frequent electronic vapor product use,Currently frequently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on 20 or more days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently frequently use an electronic vapor product,100,,,100,100,95,Female,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently smoke cigars daily,100,,,100,100,31,Total,Total,12th,Total,Same sex only or both sexes
Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0,0,0,Did not currently smoke cigars daily,100,,,100,100,69,Female,Total,12th,Total,No sexual contact
